Age,Gender,Occupation,Income,Location,Consumption frequency,Protein Source,Buying behaviour,is_RTC_customer,RTC_customer_frequency,protein_concious,protein_products_awareness,Nutritional value,Shelf-life,Price,Packaging design,Brand trust,Convenience,Concerns,WTP,Channels,Channel_selection_driver,RTC_current_satisfaction_score,challenges,information_sources,digital_rec_preference,interest,packet_size_preference,gym_frequency,preservative_sensitivity,shelf_life_preference
18–24,Female,Student,"25,000-50,000",Semi-urban,4–6 times a week,"Dairy (Milk, Paneer, Yogurt), Eggs, Meat & Poultry","Make it fresh at home, Buy ready-to-eat packaged rotis, Buy from a restaurant",Yes,Sometimes,I don’t pay attention to protein intake,None of the above,Very Important,Neutral,Somewhat Important,Not important,Very Important,Less Important,"Price, Taste & Texture",₹60-₹80,"Supermarkets, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Price, Product quality",3,"Short shelf-life, Inconsistent quality","Social media, TV or radio commercials, Word of mouth",4,Maybe,Pack of 8 rotis,Never,3.0,Yes
25–34,Female,Student,"More than 1,00,000",Urban,Daily,"Eggs, Meat & Poultry",Make it fresh at home,Yes,Rarely,I try to include protein-rich foods but don’t track it,"Protein bars, Protein shakes, High-protein bread/atta, High-protein cereals/snacks",Neutral,Somewhat Important,Neutral,Not important,Somewhat Important,Very Important,"Shelf Life & Preservatives, Skepticism about nutritional claims",₹60-₹80,"Supermarkets, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Speed of delivery",3,"Inconsistent quality, Unclear nutritional information","Social media, Online reviews",3,Yes,Pack of 4 rotis,2-3 times a week,5.0,Yes
18–24,Female,Student,"More than 1,00,000",Urban,2–3 times a week,"Dairy (Milk, Paneer, Yogurt), Lentils & Pulses, Eggs, Protein Bars/Supplements","Make it fresh at home, When in hostel, I eat at mess or order online",Yes,Rarely,I try to include protein-rich foods but don’t track it,"Protein bars, Protein shakes",Somewhat Important,Very Important,Very Important,Not important,Somewhat Important,Somewhat Important,"Price, Shelf Life & Preservatives",Below ₹40,"Local Store, Supermarkets, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Price, Product quality, Trust in the vendor, Speed of delivery, Variety of products",4,High price,"Social media, Word of mouth, Online reviews",4,Yes,Pack of 4 rotis,2-3 times a week,5.0,No
50+,Male,Farmer,"More than 1,00,000",Rural,4–6 times a week,"Dairy (Milk, Paneer, Yogurt), Eggs, Meat & Poultry",Make it fresh at home,Maybe,Sometimes,I assume my diet provides enough protein,Protein shakes,Not important,Neutral,Not important,Not important,Not important,Neutral,Availability,₹60-₹80,Supermarkets,Convenience,3,Short shelf-life,TV or radio commercials,1,Yes,Pack of 4 rotis,2-3 times a week,1.0,No
18–24,Male,Working professional,"25,000-50,000",Urban,Daily,Nowadays consuming very less source of proteins,Make it fresh at home,No,Never,I don’t pay attention to protein intake,"Protein bars, Protein shakes, High-protein bread/atta, High-protein cereals/snacks",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Never though about it,₹40-₹60,"Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Price, Product quality, Speed of delivery",3,Short shelf-life,"Social media, Online reviews",4,Yes,Pack of 4 rotis,2-3 times a week,3.0,Yes
18–24,Male,Working professional,"More than 1,00,000",Urban,4–6 times a week,"Dairy (Milk, Paneer, Yogurt), Lentils & Pulses, Eggs, Meat & Poultry",Make it fresh at home,No,Never,I try to include protein-rich foods but don’t track it,Protein shakes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Taste & Texture, Shelf Life & Preservatives",Below ₹40,We don't use it,Convenience,2,"Inconsistent quality, Unclear nutritional information","Social media, TV or radio commercials, In-store promotions, Word of mouth, Online reviews",2,No,Pack of 6 rotis,Daily,5.0,No
18–24,Female,Student,"25,000-50,000",Semi-urban,Daily,"Dairy (Milk, Paneer, Yogurt), Lentils & Pulses","Buy ready-to-eat packaged rotis, Buy from a restaurant",Yes,Often,I don’t pay attention to protein intake,"Protein bars, Protein shakes, High-protein bread/atta, High-protein cereals/snacks",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Price, Taste & Texture, Shelf Life & Preservatives, Availability",₹40-₹60,"Local Store, Supermarkets, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Price, Product quality, Speed of delivery",3,"Short shelf-life, Inconsistent quality, High price, Limited availability, Lack of variety, Unclear nutritional information","Social media, Word of mouth, Online reviews",4,Maybe,Pack of 4 rotis,4-6 times a week,4.0,No
25–34,Male,Working professional,"More than 1,00,000",Urban,4–6 times a week,"Dairy (Milk, Paneer, Yogurt), Eggs, Meat & Poultry, Protein Bars/Supplements",Make it fresh at home,Yes,Sometimes,I assume my diet provides enough protein,"Protein bars, Protein shakes, High-protein cereals/snacks",Very Important,Very Important,Somewhat Important,Neutral,Somewhat Important,Somewhat Important,"Taste & Texture, Shelf Life & Preservatives, Skepticism about nutritional claims",₹100-₹120,"Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Price, Speed of delivery",3,"Short shelf-life, Inconsistent quality, Unclear nutritional information","Social media, Word of mouth",2,Maybe,Pack of 4 rotis,4-6 times a week,4.0,Yes
25–34,Male,Working professional,"More than 1,00,000",Urban,4–6 times a week,"Dairy (Milk, Paneer, Yogurt)",Make it fresh at home,No,Never,I try to include protein-rich foods but don’t track it,"Protein bars, High-protein bread/atta, High-protein cereals/snacks",Very Important,Neutral,Neutral,Not important,Very Important,Somewhat Important,"Taste & Texture, Shelf Life & Preservatives",₹80-₹100,"Supermarkets, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Speed of delivery, Variety of products",3,Short shelf-life,"Social media, TV or radio commercials",4,Yes,Pack of 6 rotis,2-3 times a week,3.0,Yes
25–34,Female,Student,"More than 1,00,000",Urban,2–3 times a week,"Dairy (Milk, Paneer, Yogurt), Lentils & Pulses, Eggs, Meat & Poultry",Make it fresh at home,Yes,Sometimes,I assume my diet provides enough protein,"Protein bars, Protein shakes",Less Important,Somewhat Important,Somewhat Important,Not important,Neutral,Somewhat Important,Haven't heard about it,₹60-₹80,"Local Store, Supermarkets",Convenience,2,"Short shelf-life, Inconsistent quality, Lack of variety","Social media, TV or radio commercials, In-store promotions, Word of mouth",3,Yes,Pack of 4 rotis,2-3 times a week,2.0,Yes
18–24,Female,Working professional,"More than 1,00,000",Urban,2–3 times a week,"Dairy (Milk, Paneer, Yogurt), Lentils & Pulses, Eggs, Meat & Poultry, Protein Bars/Supplements","Make it fresh at home, Buy ready-to-cook packaged rotis, Buy ready-to-eat packaged rotis, Buy from a restaurant",Yes,Often,I don’t pay attention to protein intake,"Protein bars, Protein shakes, High-protein bread/atta, High-protein cereals/snacks",Neutral,Less Important,Neutral,Less Important,Less Important,Neutral,"Price, Shelf Life & Preservatives, Skepticism about nutritional claims, Availability",₹40-₹60,"Local Store, Supermarkets","Convenience, Product quality, Trust in the vendor, Variety of products",3,"Short shelf-life, Limited availability, Lack of variety, Unclear nutritional information","Social media, In-store promotions, Word of mouth, Online reviews",3,Yes,Pack of 8 rotis,Never,3.0,Maybe
25–34,Male,Working professional,"More than 1,00,000",Semi-urban,Daily,"Dairy (Milk, Paneer, Yogurt), Eggs, Meat & Poultry",Make it fresh at home,Yes,Rarely,I assume my diet provides enough protein,"Protein bars, Protein shakes",Neutral,Very Important,Very Important,Less Important,Somewhat Important,Very Important,"Price, Taste & Texture, Shelf Life & Preservatives",Below ₹40,"Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Price, Product quality, Trust in the vendor, Speed of delivery",4,"Inconsistent quality, Lack of variety, Unclear nutritional information","TV or radio commercials, In-store promotions",4,Yes,Pack of 6 rotis,Once a week,4.0,Yes
25–34,Female,Working professional,Prefer not to say,Urban,2–3 times a week,Meat & Poultry,Buy ready-to-cook packaged rotis,Yes,Always,I try to include protein-rich foods but don’t track it,"Protein bars, Protein shakes",Neutral,Neutral,Somewhat Important,Not important,Very Important,Very Important,"Taste & Texture, Skepticism about nutritional claims",₹60-₹80,"Supermarkets, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Price, Product quality, Trust in the vendor",4,"Lack of variety, Unclear nutritional information","Social media, Word of mouth",1,Yes,Pack of 4 rotis,2-3 times a week,2.0,Yes
25–34,Female,Working professional,"25,000-50,000",Rural,Less than once a week,Eggs,Make it fresh at home,No,Never,I try to include protein-rich foods but don’t track it,Protein shakes,Somewhat Important,Very Important,Very Important,Less Important,Somewhat Important,Very Important,Availability,₹60-₹80,"Local Store, Supermarkets","Convenience, Speed of delivery",3,Limited availability,Social media,2,Yes,Pack of 4 rotis,2-3 times a week,3.0,Maybe
25–34,Male,Student,Prefer not to say,Urban,2–3 times a week,Meat & Poultry,"Make it fresh at home, Buy ready-to-cook packaged rotis, Buy from a restaurant",Yes,Sometimes,I assume my diet provides enough protein,"Protein bars, Protein shakes, High-protein bread/atta, High-protein cereals/snacks",Very Important,Somewhat Important,Neutral,Somewhat Important,Very Important,Very Important,Price,₹80-₹100,"Supermarkets, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)",Speed of delivery,3,High price,Word of mouth,4,Yes,Pack of 4 rotis,2-3 times a week,5.0,No
25–34,Male,Student,"More than 1,00,000",Semi-urban,Daily,"Dairy (Milk, Paneer, Yogurt), Lentils & Pulses, Meat & Poultry, Protein Bars/Supplements",Make it fresh at home,No,Never,I try to include protein-rich foods but don’t track it,Protein shakes,Very Important,Very Important,Very Important,Not important,Somewhat Important,Very Important,"Price, Skepticism about nutritional claims, Availability",₹40-₹60,"Quick-commerce apps (e.g., Blinkit, Zepto, Instamart), E-commerce websites (e.g., Amazon)","Convenience, Price, Speed of delivery",3,High price,Social media,1,Yes,Pack of 8 rotis,4-6 times a week,4.0,Maybe
25–34,Male,Home maker,Prefer not to say,Rural,4–6 times a week,"Dairy (Milk, Paneer, Yogurt), Eggs, Meat & Poultry",Buy ready-to-cook packaged rotis,Yes,Often,I don’t pay attention to protein intake,None of the above,Somewhat Important,Very Important,Very Important,Not important,Somewhat Important,Very Important,"Price, Taste & Texture, Shelf Life & Preservatives, Availability",₹40-₹60,"Local Store, Supermarkets, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Price, Product quality, Trust in the vendor, Speed of delivery",4,Lack of variety,Word of mouth,4,Maybe,Pack of 8 rotis,2-3 times a week,3.0,Yes
18–24,Female,Student,Prefer not to say,Semi-urban,4–6 times a week,"Dairy (Milk, Paneer, Yogurt), Lentils & Pulses, Eggs, Meat & Poultry",Buy ready-to-cook packaged rotis,Yes,Always,I try to include protein-rich foods but don’t track it,"Protein bars, High-protein bread/atta",Very Important,Somewhat Important,Very Important,Less Important,Very Important,Somewhat Important,"Price, Shelf Life & Preservatives, Skepticism about nutritional claims, Availability",₹100-₹120,"Supermarkets, E-commerce websites (e.g., Amazon)","Convenience, Price, Product quality, Trust in the vendor, Speed of delivery, Variety of products",4,"Limited availability, Lack of variety","Social media, In-store promotions, Word of mouth",3,Maybe,Pack of 4 rotis,4-6 times a week,4.0,Yes
25–34,Male,Student,Prefer not to say,Urban,Daily,"Dairy (Milk, Paneer, Yogurt), Lentils & Pulses","Make it fresh at home, Buy ready-to-cook packaged rotis, Buy from a restaurant",Yes,Rarely,I don’t pay attention to protein intake,"Protein bars, High-protein cereals/snacks",Neutral,Somewhat Important,Very Important,Neutral,Very Important,Very Important,"Price, Taste & Texture, Shelf Life & Preservatives",₹60-₹80,"Supermarkets, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Price, Product quality, Trust in the vendor, Speed of delivery, Variety of products",3,"High price, Limited availability","Social media, TV or radio commercials, Word of mouth",4,Yes,Pack of 4 rotis,2-3 times a week,4.0,Yes
18–24,Female,Student,Prefer not to say,Urban,4–6 times a week,"Dairy (Milk, Paneer, Yogurt), Lentils & Pulses",Make it fresh at home,Yes,Never,I assume my diet provides enough protein,"Protein bars, Protein shakes, High-protein cereals/snacks",Somewhat Important,Neutral,Somewhat Important,Neutral,Neutral,Somewhat Important,"Price, Shelf Life & Preservatives, Skepticism about nutritional claims",₹40-₹60,"Supermarkets, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Price",2,"High price, Limited availability, Unclear nutritional information","Word of mouth, Online reviews",2,Yes,Pack of 6 rotis,2-3 times a week,5.0,No
35–50,Female,Home maker,"Below 25,000",Urban,2–3 times a week,Lentils & Pulses,Make it fresh at home,No,Never,I try to include protein-rich foods but don’t track it,"Protein bars, Protein shakes, High-protein bread/atta",Very Important,Very Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Taste & Texture,₹80-₹100,"Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)",Convenience,4,Short shelf-life,Social media,5,Yes,Pack of 4 rotis,2-3 times a week,1.0,Yes
18–24,Female,Student,"Below 25,000",Urban,2–3 times a week,"Dairy (Milk, Paneer, Yogurt), Lentils & Pulses, Eggs",Make it fresh at home,Yes,Rarely,I try to include protein-rich foods but don’t track it,"Protein bars, Protein shakes, High-protein bread/atta, High-protein cereals/snacks",Somewhat Important,Very Important,Very Important,Somewhat Important,Very Important,Very Important,"Price, Taste & Texture, Shelf Life & Preservatives",₹60-₹80,"Supermarkets, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Price, Trust in the vendor, Speed of delivery",3,"Short shelf-life, Inconsistent quality","Social media, TV or radio commercials, Word of mouth",4,Yes,Pack of 4 rotis,4-6 times a week,2.0,Maybe
25–34,Male,Student,Prefer not to say,Urban,2–3 times a week,"Eggs, Meat & Poultry, Protein Bars/Supplements",Make it fresh at home,No,Never,I carefully track my protein intake,"Protein bars, Protein shakes, High-protein bread/atta, High-protein cereals/snacks",Very Important,Somewhat Important,Neutral,Neutral,Very Important,Somewhat Important,"Taste & Texture, Shelf Life & Preservatives, Skepticism about nutritional claims",₹60-₹80,"Supermarkets, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Product quality, Trust in the vendor, Speed of delivery",1,"Inconsistent quality, Limited availability, Unclear nutritional information","Social media, Word of mouth, Online reviews",3,Yes,Pack of 4 rotis,4-6 times a week,4.0,No
25–34,Female,Student,"25,000-50,000",Urban,Daily,"Dairy (Milk, Paneer, Yogurt), Lentils & Pulses, Eggs, Meat & Poultry","Make it fresh at home, Buy ready-to-cook packaged rotis",Yes,Often,I try to include protein-rich foods but don’t track it,"Protein bars, Protein shakes, High-protein bread/atta, High-protein cereals/snacks",Very Important,Somewhat Important,Neutral,Not important,Less Important,Neutral,"Shelf Life & Preservatives, Availability",₹60-₹80,"Supermarkets, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Price, Speed of delivery, Variety of products",2,"Short shelf-life, High price, Lack of variety","Social media, In-store promotions, Online reviews",2,Yes,Pack of 4 rotis,Once a week,4.0,Yes
18–24,Female,Student,"25,000-50,000",Semi-urban,2–3 times a week,"Lentils & Pulses, Eggs, Meat & Poultry","Make it fresh at home, Buy ready-to-cook packaged rotis",Yes,Often,I don’t pay attention to protein intake,"Protein bars, Protein shakes",Very Important,Somewhat Important,Somewhat Important,Neutral,Neutral,Neutral,"Price, Availability",Below ₹40,"Local Store, Supermarkets",Convenience,2,Inconsistent quality,Social media,4,Yes,Pack of 4 rotis,Once a week,5.0,Maybe
25–34,Male,Student,"More than 1,00,000",Urban,4–6 times a week,"Dairy (Milk, Paneer, Yogurt), Eggs","Make it fresh at home, Buy from a restaurant",Maybe,Rarely,I assume my diet provides enough protein,"Protein bars, Protein shakes, High-protein bread/atta, High-protein cereals/snacks",Somewhat Important,Somewhat Important,Somewhat Important,Less Important,Very Important,Somewhat Important,"Price, Taste & Texture",₹40-₹60,"Local Store, Supermarkets, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Price, Product quality, Trust in the vendor, Speed of delivery, Variety of products",3,"Inconsistent quality, Limited availability, Lack of variety","Social media, TV or radio commercials, In-store promotions",3,No,Pack of 4 rotis,4-6 times a week,2.0,Yes
25–34,Male,Student,"More than 1,00,000",Urban,Daily,"Dairy (Milk, Paneer, Yogurt), Lentils & Pulses, Eggs, Protein Bars/Supplements",Buy from a restaurant,No,Never,I try to include protein-rich foods but don’t track it,"Protein bars, Protein shakes, High-protein cereals/snacks",Somewhat Important,Neutral,Very Important,Less Important,Somewhat Important,Somewhat Important,"Price, Taste & Texture, Shelf Life & Preservatives, Skepticism about nutritional claims",₹40-₹60,"Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Speed of delivery",3,"Inconsistent quality, High price","In-store promotions, Online reviews",2,Maybe,Pack of 4 rotis,4-6 times a week,4.0,Yes
18–24,Female,Student,Prefer not to say,Urban,4–6 times a week,"Dairy (Milk, Paneer, Yogurt), Meat & Poultry",Buy ready-to-cook packaged rotis,Yes,Sometimes,I try to include protein-rich foods but don’t track it,"Protein bars, Protein shakes",Somewhat Important,Very Important,Somewhat Important,Neutral,Somewhat Important,Very Important,"Taste & Texture, Shelf Life & Preservatives",₹40-₹60,"Supermarkets, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Price",3,Inconsistent quality,"Social media, In-store promotions, Word of mouth",4,Yes,Pack of 6 rotis,2-3 times a week,2.0,Yes
25–34,Male,Working professional,"25,000-50,000",Urban,4–6 times a week,"Eggs, Meat & Poultry",Buy ready-to-cook packaged rotis,Yes,Always,I try to include protein-rich foods but don’t track it,"Protein bars, Protein shakes, High-protein bread/atta",Neutral,Very Important,Somewhat Important,Not important,Neutral,Neutral,Price,Below ₹40,"Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)",Speed of delivery,3,Lack of variety,Online reviews,3,Yes,Pack of 8 rotis,4-6 times a week,1.0,Yes
18–24,Male,Student,"More than 1,00,000",Urban,4–6 times a week,"Dairy (Milk, Paneer, Yogurt), Eggs, Meat & Poultry",Make it fresh at home,Yes,Rarely,I try to include protein-rich foods but don’t track it,"Protein bars, Protein shakes, High-protein bread/atta, High-protein cereals/snacks",Somewhat Important,Very Important,Very Important,Neutral,Somewhat Important,Neutral,"Price, Shelf Life & Preservatives, Skepticism about nutritional claims",₹60-₹80,Supermarkets,"Trust in the vendor, Variety of products",4,Inconsistent quality,"Social media, In-store promotions, Word of mouth",3,Yes,Pack of 6 rotis,4-6 times a week,3.0,No
35–50,Female,Home maker,Prefer not to say,Semi-urban,Daily,"Dairy (Milk, Paneer, Yogurt), Lentils & Pulses, Protein Bars/Supplements",Make it fresh at home,No,Never,I try to include protein-rich foods but don’t track it,"Protein shakes, High-protein cereals/snacks",Very Important,Somewhat Important,Neutral,Somewhat Important,Somewhat Important,Somewhat Important,I always use homemade roti,₹60-₹80,"Local Store, Supermarkets, E-commerce websites (e.g., Amazon)","Convenience, Price, Product quality, Variety of products",3,"Inconsistent quality, Unclear nutritional information","Social media, TV or radio commercials, In-store promotions",1,Yes,Pack of 4 rotis,Daily,1.0,Maybe
35–50,Female,Home maker,Prefer not to say,Urban,Daily,"Dairy (Milk, Paneer, Yogurt), Lentils & Pulses",Make it fresh at home,No,Never,I try to include protein-rich foods but don’t track it,"Protein bars, Protein shakes, High-protein bread/atta, High-protein cereals/snacks",Not important,Not important,Less Important,Less Important,Not important,Not important,Shelf Life & Preservatives,₹60-₹80,"Quick-commerce apps (e.g., Blinkit, Zepto, Instamart), E-commerce websites (e.g., Amazon)","Convenience, Price, Product quality, Speed of delivery, Variety of products",3,"Inconsistent quality, High price, Unclear nutritional information","Social media, TV or radio commercials, In-store promotions, Word of mouth, Online reviews",5,Maybe,Pack of 4 rotis,2-3 times a week,5.0,Yes
50+,Female,Home maker,Prefer not to say,Urban,Daily,"Dairy (Milk, Paneer, Yogurt), Lentils & Pulses, ",Make it fresh at home,No,Never,I try to include protein-rich foods but don’t track it,"Protein bars, Protein shakes, High-protein bread/atta, High-protein cereals/snacks",Very Important,Very Important,Very Important,Somewhat Important,Very Important,Very Important,"Price, Taste & Texture, Shelf Life & Preservatives, Skepticism about nutritional claims, Availability",₹40-₹60,"Supermarkets, Quick-commerce apps (e.g., Blinkit, Zepto, Instamart)","Convenience, Price, Product quality, Trust in the vendor, Speed of delivery, Variety of products",3,"Short shelf-life, High price, Limited availability, Lack of variety, Unclear nutritional information","Social media, TV or radio commercials, In-store promotions, Online reviews",1,Yes,Pack of 4 rotis,Never,5.0,Maybe
50+,Female,Home maker,Prefer not to say,Urban,2–3 times a week,Lentils & Pulses,Make it fresh at home,No,Never,I try to include protein-rich foods but don’t track it,"Protein bars, Protein shakes, High-protein bread/atta, High-protein cereals/snacks",Neutral,Less Important,Less Important,Less Important,Neutral,Neutral,"Price, Taste & Texture, Shelf Life & Preservatives, Skepticism about nutritional claims",Below ₹40,Supermarkets,"Convenience, Price, Trust in the vendor",3,"Short shelf-life, Inconsistent quality, High price, Limited availability, Unclear nutritional information",Social media,3,Yes,Pack of 4 rotis,Daily,5.0,Yes
